agent,game_num,score,record,mean_score
Random,3925,0,2,0.129
DQN,609,24,55,20.099
A*,269,56,90,51.149
Random,3926,0,2,0.129
Random,3927,0,2,0.129
Random,3928,0,2,0.129
Random,3929,0,2,0.129
BFS,268,38,88,51.291
Random,3930,0,2,0.129
Random,3931,0,2,0.129
Random,3932,0,2,0.129
Random,3933,0,2,0.129
Random,3934,0,2,0.129
DQN,610,30,55,20.115
Random,3935,0,2,0.129
Random,3936,0,2,0.129
Random,3937,0,2,0.129
Random,3938,0,2,0.129
Random,3939,0,2,0.129
Random,3940,0,2,0.129
A*,270,49,90,51.141
DQN,611,25,55,20.123
Random,3941,0,2,0.129
DQN,612,12,55,20.109
Random,3942,0,2,0.129
Random,3943,1,2,0.129
Random,3944,0,2,0.129
Random,3945,0,2,0.129
Random,3946,0,2,0.129
Random,3947,0,2,0.129
BFS,269,61,88,51.327
Random,3948,1,2,0.129
Random,3949,0,2,0.129
Random,3950,0,2,0.129
Random,3951,0,2,0.129
Random,3952,0,2,0.129
DQN,613,37,55,20.137
Random,3953,1,2,0.129
Random,3954,0,2,0.129
Random,3955,0,2,0.129
Random,3956,0,2,0.129
Random,3957,1,2,0.129
A*,271,64,90,51.188
Random,3958,0,2,0.129
Random,3959,1,2,0.129
BFS,270,46,88,51.307
Random,3960,0,2,0.129
DQN,614,27,55,20.148
DQN,615,14,55,20.138
Random,3961,0,2,0.129
Random,3962,0,2,0.129
Random,3963,0,2,0.129
Random,3964,0,2,0.129
DQN,616,17,55,20.133
Random,3965,0,2,0.129
A*,272,43,90,51.158
Random,3966,1,2,0.129
DQN,617,13,55,20.122
Random,3967,0,2,0.129
Random,3968,0,2,0.129
Random,3969,0,2,0.129
Random,3970,0,2,0.129
Random,3971,2,2,0.130
Random,3972,0,2,0.130
DQN,618,21,55,20.123
Random,3973,0,2,0.130
BFS,271,68,88,51.369
Random,3974,0,2,0.130
A*,273,37,90,51.106
Random,3975,1,2,0.130
Random,3976,0,2,0.130
Random,3977,0,2,0.130
Random,3978,0,2,0.130
Random,3979,0,2,0.130
Random,3980,0,2,0.130
A*,274,28,90,51.022
Random,3981,0,2,0.130
Random,3982,0,2,0.130
Random,3983,0,2,0.130
Random,3984,0,2,0.130
Random,3985,0,2,0.129
Random,3986,0,2,0.129
Random,3987,0,2,0.129
BFS,272,56,88,51.386
Random,3988,0,2,0.129
Random,3989,0,2,0.129
DQN,619,50,55,20.171
Random,3990,0,2,0.129
Random,3991,0,2,0.129
Random,3992,0,2,0.129
Random,3993,0,2,0.129
Random,3994,0,2,0.129
BFS,273,23,88,51.282
Random,3995,0,2,0.129
Random,3996,0,2,0.129
Random,3997,0,2,0.129
A*,275,58,90,51.047
